*node data
Moai	Quadrangle
02-209-01	02
02-209-02	02
02-209-03	02
02-209-04	02
02-209-05	02
02-209-06	02
02-209-07	02
02-209-08	02
02-209-09	02
02-210-01	02
02-210-03	02
02-210-04	02
02-210-05	02
02-210-06	02
02-210-07	02
03-000-09	03
03-000-10	03
03-118-02	03
03-118-03	03
03-122-04	03
03-122-05	03
03-131-06	03
03-131-07	03
03-134-08	03
05-064-01	05
05-078-01	05
05-078-02	05
05-080-01	05
05-109-01	05
05-109-02	05
05-109-03	05
06-001-01	06
06-001-02	06
06-001-03	06
06-002-04	06
06-002-05	06
06-002-06	06
06-002-07	06
06-002-08	06
06-002-09	06
06-002-10	06
06-002-11	06
06-191-01	06
06-191-02	06
06-192-01	06
06-204-01	06
06-253-01	06
06-255-01	06
06-255-02	06
06-255-03	06
06-255-04	06
06-255-05	06
06-255-06	06
06-255-07	06
06-255-08	06
07-069-01	07
07-200-01	07
07-231-01	07
07-231-02	07
07-32C-01	07
07-507-01	07
07-530-01	07
07-575-01	07
07-575-02	07
07-575-03	07
07-575-09	07
07-575-10	07
07-575-12	07
07-575-15	07
07-581-01	07
07-584-01	07
07-584-02	07
07-584-03	07
07-584-09	07
07-584-10	07
07-584-13	07
07-584-14	07
07-584-15	07
07-584-18	07
07-584-19	07
07-584-20	07
07-584-25	07
07-584-26	07
07-584-27	07
07-584-28	07
07-584-29	07
07-584-32	07
07-584-33	07
07-584-34	07
07-585-01	07
08-001-01	08
08-002-01	08
08-002-02	08
08-002-03	08
08-003-04	08
08-003-05	08
08-087-01	08
08-087-02	08
08-087-03	08
08-167-01	08
08-268-01	08
08-338-01	08
11-205-01	11
11-226-01	11
12-003-01	12
12-003-02	12
12-003-03	12
12-013-01	12
12-030-01	12
12-074-01	12
12-14A-01	12
12-172-01	12
12-212-01	12
12-212-02	12
12-212-03	12
12-212-04	12
12-212-05	12
12-212-06	12
12-213-01	12
12-213-02	12
12-223-01	12
12-255-01	12
12-270-01	12
12-276-01	12
12-323-01	12
12-369-01	12
12-376-01	12
12-397-01	12
12-447-03	12
12-447-04	12
12-447-09	12
12-452-01	12
12-460-03	12
12-460-04	12
12-460-05	12
12-460-06	12
12-460-07	12
12-460-08	12
13-033-22	13
13-052-16	13
13-114-23	13
13-129-24	13
13-173-14	13
13-326-20	13
13-327-21	13
13-330-17	13
13-331-18	13
13-332-19	13
13-350-28	13
13-395-29	13
13-413-27	13
13-431-33	13
13-445-32	13
13-471-30	13
13-480-03	13
13-481-04	13
13-485-05	13
13-486-07	13
13-487-08	13
13-488-09	13
13-490-10	13
13-491-11	13
13-492-12	13
13-494-06	13
13-509-13	13
13-593-31	13
13-96a-15	13
14-463-02	14
14-463-10	14
14-493-01	14
14-493-04	14
14-548-01	14
14-548-02	14
14-548-04	14
14-548-05	14
14-548-06	14
14-548-08	14
14-548-09	14
14-548-10	14
14-548-11	14
14-548-13	14
14-548-14	14
14-548-18	14
14-548-19	14
14-548-20	14
14-548-21	14
14-548-22	14
14-548-23	14
14-548-24	14
14-548-25	14
14-548-30	14
14-548-31	14
14-548-32	14
14-548-38	14
14-548-45	14
14-548-49	14
14-548-51	14
14-548-60	14
14-548-62	14
14-548-63	14
14-548-66	14
14-548-67	14
14-548-95	14
18-298-01	18
18-300-01	18
18-302-01	18
18-303-01	18
18-334-01	18
18-341-01	18
18-343-01	18
18-350-01	18
18-384-01	18
32-001-01	32
BM-MOM-01	BM
BM-MOM-02	BM
MR-AHB-04	MR
PE-39-01	PE
PE-41-08	PE
PE-41-09	PE
PE-43-03	PE
PE-46-01	PE
PE-79-01	PE
PE-86-01	PE
PE-86-02	PE
PE-86-03	PE
PE-86-04	PE
PE-86-05	PE
PE-86-06	PE
PE-86-07	PE
PE-86-08	PE
PE-000-01	PE
PE-104-01	PE
PE-41-07	PE
PE-43-01	PE
PE-139-01	PE
RR-1-10	RR
RR-1-09	RR
RR-12-08	RR
RR-30-07	RR
RR-49-05	RR
RR-61-03	RR
RR-77-01	RR
RR-265-12	RR
RR-273-15	RR
RR-278-13	RR
