0.27	0.54	0.52	1.01	1.00	0.54	0.50	0.44	0.58	0.63	0.78
E-496	0.20	0.53	0.43	0.57	0.54	0.26	0.31	0.15	0.30	0.44	0.46
12-460-01	0.21	0.47	0.52	0.95	0.51	0.27	0.20	0.25	0.39	0.50	0.54
14-21-02	0.14	0.45	0.40	0.67	0.45	0.26	0.34	0.26	0.34	0.39	0.53
14-21-04	0.18	0.47	0.43	0.83	0.52	0.29	0.39	0.27	0.34	0.48	0.52
03-118-B	0.12	0.48	0.45	0.98	0.47	0.34	0.34	0.35	0.44	0.40	0.50
03-118-A	0.16	0.53	0.43	1.01	0.43	0.28	0.35	0.40	0.40	0.49	0.61
25-63-B	0.16	0.47	0.44	0.85	0.61	0.54	0.37	0.21	0.39	0.59	0.58
TEPEU-1	0.18	0.49	0.42	0.73	0.48	0.32	0.38	0.24	0.39	0.36	0.54
14-548-01	0.13	0.52	0.38	0.88	0.43	0.35	0.35	0.34	0.43	0.21	0.52
14-548-03	0.14	0.44	0.41	0.81	0.44	0.32	0.32	0.20	0.39	0.56	0.50
14-548-05	0.15	0.45	0.42	0.94	0.51	0.40	0.36	0.44	0.43	0.49	0.53
14-548-06	0.14	0.51	0.41	0.91	0.49	0.38	0.35	0.33	0.41	0.59	0.59
14-548-07	0.14	0.51	0.41	0.83	0.44	0.35	0.30	0.33	0.42	0.56	0.57
02-210-02	0.14	0.51	0.45	0.97	0.50	0.34	0.29	0.35	0.45	0.54	0.48
02-210-03	0.08	0.54	0.42	0.78	0.50	0.33	0.31	0.18	0.40	0.61	0.49
02-209-03	0.15	0.52	0.40	0.88	0.41	0.31	0.35	0.40	0.39	0.63	0.49
06-191-01	0.12	0.51	0.44	0.96	0.43	0.27	0.31	0.24	0.32	0.55	0.53
07-575-03	0.20	0.45	0.45	0.96	0.43	0.29	0.50	0.24	0.38	0.42	0.48
07-582	0.18	0.49	0.42	0.57	0.68	0.36	0.34	0.23	0.31	0.47	0.48
07-584-02	0.13	0.47	0.44	0.89	0.43	0.28	0.36	0.30	0.39	0.45	0.44
07-584-03	0.17	0.48	0.43	0.80	0.44	0.28	0.36	0.30	0.33	0.50	0.49
E-463	0.20	0.45	0.38	0.39	0.55	0.31	0.31	0.21	0.26	0.36	0.53
ESTE_NAU	0.27	0.43	0.42	0.63	0.46	0.25	0.41	0.44	0.30	0.41	0.71
